Ramas de actividad,Año,Total,Código
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2284369,6
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2278521,6
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3630016,6
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3639953,6
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3719584,6
añadido bruto total,2021,11511181,6
añadido bruto total,2020,10619796,6
añadido bruto total,2019,11328333,6
netos sobre los productos,2021,1212030,6
netos sobre los productos,2020,1018458,6
netos sobre los productos,2019,1162238,6
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12723211,6
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11638254,6
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12490571,6
"Agricultura, ganadería, silvicultura y pesca",2021,154128,7
"Agricultura, ganadería, silvicultura y pesca",2020,148537,7
"Agricultura, ganadería, silvicultura y pesca",2019,181850,7
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1806386,7
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1674865,7
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1791348,7
- De las cuales: Industria manufacturera,2021,775341,7
- De las cuales: Industria manufacturera,2020,739139,7
- De las cuales: Industria manufacturera,2019,843963,7
Construcción,2021,2146768,7
Construcción,2020,2151854,7
Construcción,2019,2447974,7
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,8876564,7
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,6310676,7
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,11653261,7
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,8116266,7
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,7758796,7
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,8527791,7
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,6070699,7
