Energía (MWh),Porcentage de Generación Renovable,COD-CCAA,Año,Mes,Tipo de energía
3505.4205,0.1078691075394461,6,2019,5,7
3380.5175,0.1254574529700743,6,2019,6,7
3433.519,0.1547452769825978,6,2019,7,7
3428.761,0.1914567698561601,6,2019,8,7
3365.859,0.1527529078727953,6,2019,9,7
3476.0315,0.1079248053462905,6,2019,10,7
1043.4315,0.0202984065541292,6,2019,11,7
3469.3295,0.0630275220715943,6,2019,12,7
17217.348,0.4874361739267459,6,2020,1,1
13735.378,0.4589252260311596,6,2020,2,1
19071.777,0.5678941098550283,6,2020,3,1
27640.193,0.613236508904874,6,2020,4,1
15828.688,0.5236024519063702,6,2020,5,1
10297.485,0.4404705297196775,6,2020,6,1
10035.132,0.4404830220170358,6,2020,7,1
5798.843,0.2755949851190599,6,2020,8,1
5940.097,0.282550230093924,6,2020,9,1
19866.496,0.50887941152611,6,2020,10,1
11018.017,0.3538095334278044,6,2020,11,1
24967.619,0.5535293103374694,6,2020,12,1
7950.637,0.2250885606517578,6,2020,1,2
6888.136,0.2301457863579268,6,2020,2,2
6362.832,0.1894639820294192,6,2020,3,2
7338.098,0.1628060122272604,6,2020,4,2
3771.057,0.124744052790647,6,2020,5,2
2525.293,0.1080183312146017,6,2020,6,2
1879.501,0.0824989925756871,6,2020,7,2
4528.121,0.2152028326361487,6,2020,8,2
4524.09,0.2151955886352733,6,2020,9,2
8390.82,0.2149304811387733,6,2020,10,2
10148.598,0.3258908316556735,6,2020,11,2
9874.142,0.2189086196578953,6,2020,12,2
96.596,0.0027347059870444,6,2020,1,3
145.21,0.0048517435830295,6,2020,2,3
186.698,0.0055592457127468,6,2020,3,3
188.535,0.0041829138170771,6,2020,4,3
259.88,0.0085966572340946,6,2020,5,3
237.966,0.0101788941741864,6,2020,6,3
268.473,0.0117843789568467,6,2020,7,3
219.533,0.0104334940380594,6,2020,8,3
219.283,0.0104305471957252,6,2020,9,3
